company,liability_duration,liability_liquidity,H1_SurplusCAGR_RMSE,H1_SurplusCAGR_VOL,H1_Difference,H2_P_Surplus_lt_0_RMSE,H2_P_Surplus_lt_0_VOL,H2_Diff_PctPts,H2_P_SurplusCAGR_lt_Discount_RMSE,H2_P_SurplusCAGR_lt_Discount_VOL,H2_Diff_PctPts_CAGR,H3_SurplusPerRBC_RMSE,H3_SurplusPerRBC_VOL,H3_Difference,RBC_RMSE,RBC_VOL
Brighthouse,7.787982021218225,0.6306273729136531,0.006927880518271756,0.006927880518271756,0.0,0.2934,0.2934,0.0,0.9956,0.9956,0.0,0.16545603421324567,0.16545603421324567,0.0,0.04187142857142856,0.04187142857142856
Corebridge,8.152721582846818,0.6003913677887616,0.00692832764826401,0.00692832764826401,0.0,0.2932,0.2932,0.0,0.9956,0.9956,0.0,0.16546671285516235,0.16546671285516235,0.0,0.04187142857142856,0.04187142857142856
MetLife,9.035724534218943,0.530368058209773,0.006930655663690555,0.006930655663690555,0.0,0.2924,0.2924,0.0,0.9956,0.9956,0.0,0.16552231199533912,0.16552231199533912,0.0,0.04187142857142856,0.04187142857142856
Principal,8.553232346100046,0.5681905478283188,0.006927391540444194,0.006927391540444194,0.0,0.2928,0.2928,0.0,0.9956,0.9956,0.0,0.16544435613479827,0.16544435613479827,0.0,0.04187142857142856,0.04187142857142856
Prudential,8.500090232607104,0.5809304225875556,0.006924495589431645,0.006924495589431645,0.0,0.2928,0.2928,0.0,0.9956,0.9956,0.0,0.16537519319693458,0.16537519319693458,0.0,0.04187142857142856,0.04187142857142856
Voya,8.313409446106343,0.5831956218764548,0.006925364087804531,0.006925364087804531,0.0,0.2928,0.2928,0.0,0.9956,0.9956,0.0,0.16539593522562857,0.16539593522562857,0.0,0.04187142857142856,0.04187142857142856
